Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.149929149687969,0.0656732904513833,-0.0922338678122183,0,0,0,2.09738280633032,0.0169845783356244,-8.36939636501596E-06,6.95769457368112E-07,0.0396539562803083,8.22764549530396E-07,0.0248346476551759,0,0,0,0,0,0,package://savyyage/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://savyyage/meshes/base_link.STL,,New-power bank-1;New-chassis-1;New-block-1;New-front wheel-1;New-front wheel-2;New-block-2;New-motor-1;New-clamp-1;New-motor-2;New-clamp-2;New-battery-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0,0,0.01,0,0,0,0.156514146001844,0.000103390636279718,0,-1.10940270700837E-21,0.000103390636279718,1.22477129909407E-22,0.000196346996159313,0,0,0,0,0,0,package://savyyage/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://savyyage/meshes/left_wheel.STL,,new-rear wheel-1,Origin_joint_left_wheel,Axis_joint_left_wheel,joint_left_wheel,continuous,0.33476,-0.07379,0.0034895,1.5708,-0.10897,0,base_link,0,0,1,,,,,,,,,,,,
right_wheel,1.52655665885959E-15,-3.38618022510673E-15,-0.010000000000001,0,0,0,0.156514146001844,0.000103390636279718,6.7762635780344E-21,-3.12357214248845E-19,0.000103390636279718,5.62659881703568E-19,0.000196346996159313,0,0,0,0,0,0,package://savyyage/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://savyyage/meshes/right_wheel.STL,,new-rear wheel-2,Origin_joint_right_wheel,Axis_joint_right_wheel,joint_right_wheel,continuous,0.33476,0.25821,0.0034895,-1.5708,1.064,-3.1416,base_link,0,0,1,,,,,,,,,,,,
laser_sensor,1.38777878078145E-17,-0.045,0.02,0,0,0,0.024,2.6E-06,-7.70949059800128E-22,7.33349831960146E-23,4E-06,5.29395592033938E-23,5E-06,0,0,0,0,0,0,package://savyyage/meshes/laser_sensor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://savyyage/meshes/laser_sensor.STL,,Part1^savyyage-1,Origin_joint_laser_sensor,,joint_laser_sensor,fixed,-0.043238,0.09221,0.07249,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
